timestep,location,flow,occupy,speed
3010,42,7,0,0
3010,43,3,0,0
3010,44,1,0,0
3010,45,22,0,0
3010,46,4,0,0
3311,0,65,0,0
3311,1,17,0,0
3311,2,61,0,0
3311,3,9,0,0
3311,4,113,0,0
3311,5,64,0,0
3311,6,11,0,0
3311,7,41,0,0
3311,8,62,0,0
3311,9,0,0,0
3311,10,3,0,0
3311,11,3,0,0
3311,12,39,0,0
3311,13,39,0,0
3311,14,3,0,0
3311,15,2,0,0
3311,16,7,0,0
3311,17,7,0,0
3311,18,7,0,0
3311,19,86,0,0
3311,20,24,0,0
3311,21,9,0,0
3311,22,16,0,0
3311,23,10,0,0
3311,24,33,0,0
3311,25,18,0,0
3311,26,24,0,0
3311,27,24,0,0
3311,28,52,0,0
3311,29,47,0,0
3311,30,4,0,0
3311,31,146,0,0
3311,32,27,0,0
3311,33,17,0,0
3311,34,68,0,0
3311,35,83,0,0
3311,36,6,0,0
3311,37,7,0,0
3311,38,26,0,0
3311,39,4,0,0
3311,40,39,0,0
3311,41,1,0,0
3311,42,15,0,0
3311,43,9,0,0
3311,44,24,0,0
3311,45,15,0,0
3311,46,6,0,0
3612,0,48,0,0
3612,1,16,0,0
3612,2,12,0,0
3612,3,31,0,0
3612,4,71,0,0
3612,5,28,0,0
3612,6,21,0,0
3612,7,26,0,0
3612,8,63,0,0
3612,9,8,0,0
3612,10,29,0,0
3612,11,31,0,0
3612,12,27,0,0
3612,13,34,0,0
3612,14,5,0,0
3612,15,6,0,0
3612,16,6,0,0
3612,17,6,0,0
3612,18,7,0,0
3612,19,63,0,0
3612,20,30,0,0
3612,21,8,0,0
3612,22,12,0,0
3612,23,7,0,0
3612,24,32,0,0
3612,25,26,0,0
3612,26,23,0,0
3612,27,14,0,0
3612,28,33,0,0
3612,29,41,0,0
3612,30,1,0,0
3612,31,145,0,0
3612,32,37,0,0
3612,33,16,0,0
3612,34,37,0,0
3612,35,75,0,0
3612,36,5,0,0
3612,37,3,0,0
3612,38,11,0,0
3612,39,5,0,0
3612,40,20,0,0
3612,41,0,0,0
3612,42,8,0,0
3612,43,8,0,0
3612,44,5,0,0
3612,45,13,0,0
3612,46,11,0,0
3913,0,12,0,0
3913,1,14,0,0
3913,2,9,0,0
3913,3,33,0,0
3913,4,83,0,0
3913,5,56,0,0
3913,6,15,0,0
3913,7,35,0,0
3913,8,47,0,0
3913,9,11,0,0
3913,10,31,0,0
3913,11,33,0,0
3913,12,37,0,0
3913,13,49,0,0
3913,14,1,0,0
3913,15,3,0,0
3913,16,2,0,0
3913,17,5,0,0
3913,18,1,0,0
3913,19,84,0,0
3913,20,26,0,0
3913,21,7,0,0
3913,22,18,0,0
3913,23,2,0,0
3913,24,23,0,0
3913,25,28,0,0
3913,26,22,0,0
3913,27,9,0,0
3913,28,20,0,0
3913,29,53,0,0
3913,30,3,0,0
3913,31,106,0,0
3913,32,39,0,0
3913,33,28,0,0
3913,34,59,0,0
3913,35,96,0,0
3913,36,8,0,0
3913,37,5,0,0
3913,38,21,0,0
3913,39,4,0,0
3913,40,33,0,0
3913,41,1,0,0
3913,42,3,0,0
3913,43,9,0,0
3913,44,15,0,0
3913,45,15,0,0
3913,46,6,0,0
4214,0,15,0,0
4214,1,12,0,0
4214,2,4,0,0
4214,3,14,0,0
4214,4,70,0,0
4214,5,60,0,0
4214,6,13,0,0
4214,7,43,0,0
4214,8,56,0,0
4214,9,12,0,0
4214,10,28,0,0
4214,11,24,0,0
4214,12,16,0,0
4214,13,28,0,0
4214,14,7,0,0
4214,15,2,0,0
4214,16,12,0,0
4214,17,11,0,0
4214,18,11,0,0
4214,19,81,0,0
4214,20,17,0,0
4214,21,6,0,0
4214,22,22,0,0
4214,23,13,0,0
4214,24,18,0,0
4214,25,22,0,0
4214,26,24,0,0
4214,27,11,0,0
4214,28,69,0,0
4214,29,30,0,0
4214,30,3,0,0
4214,31,7,0,0
4214,32,28,0,0
4214,33,16,0,0
4214,34,62,0,0
4214,35,77,0,0
4214,36,3,0,0
4214,37,8,0,0
4214,38,17,0,0
4214,39,4,0,0
4214,40,45,0,0
4214,41,1,0,0
4214,42,28,0,0
4214,43,17,0,0
4214,44,12,0,0
4214,45,17,0,0
4214,46,9,0,0
4515,0,13,0,0
4515,1,5,0,0
4515,2,1,0,0
4515,3,3,0,0
4515,4,6,0,0
4515,5,16,0,0
4515,6,13,0,0
4515,7,16,0,0
4515,8,42,0,0
4515,9,0,0,0
4515,10,4,0,0
4515,11,7,0,0
4515,12,7,0,0
4515,13,7,0,0
4515,14,7,0,0
4515,15,6,0,0
4515,16,8,0,0
4515,17,7,0,0
4515,18,8,0,0
4515,19,73,0,0
4515,20,31,0,0
4515,21,9,0,0
4515,22,22,0,0
4515,23,7,0,0
4515,24,34,0,0
4515,25,21,0,0
4515,26,22,0,0
4515,27,9,0,0
4515,28,4,0,0
4515,29,5,0,0
4515,30,0,0,0
4515,31,6,0,0
4515,32,41,0,0
4515,33,26,0,0
4515,34,40,0,0
4515,35,80,0,0
4515,36,4,0,0
4515,37,2,0,0
4515,38,6,0,0
4515,39,2,0,0
4515,40,27,0,0
4515,41,0,0,0
4515,42,4,0,0
4515,43,3,0,0
4515,44,6,0,0
4515,45,14,0,0
4515,46,5,0,0
4816,0,2,0,0
4816,1,11,0,0
4816,2,3,0,0
4816,3,18,0,0
4816,4,5,0,0
4816,5,18,0,0
4816,6,14,0,0
4816,7,18,0,0
4816,8,56,0,0
4816,9,8,0,0
4816,10,11,0,0
4816,11,10,0,0
4816,12,25,0,0
4816,13,31,0,0
4816,14,17,0,0
4816,15,7,0,0
4816,16,15,0,0
4816,17,8,0,0
