timestep,location,flow,occupy,speed
4214,13,10,1,1
4214,14,40,1,1
4214,15,66,1,1
4214,16,45,1,1
4214,17,34,1,1
4214,18,86,1,1
4214,19,8,1,1
4214,20,46,1,1
4515,2,13,1,1
4515,3,18,1,1
4515,4,33,1,1
4515,5,7,1,1
4515,6,53,1,1
4515,7,14,1,1
4515,8,13,1,1
4515,9,81,1,1
4515,10,41,1,1
4515,11,13,1,1
4515,12,5,1,1
4515,13,6,1,1
4515,14,48,1,1
4515,15,42,1,1
4515,16,10,1,1
4515,17,17,1,1
4515,18,85,1,1
4515,19,2,1,1
4515,20,27,1,1
4816,2,2,1,1
4816,3,26,1,1
4816,4,43,1,1
4816,5,33,1,1
4816,6,37,1,1
4816,7,20,1,1
4816,8,15,1,1
4816,9,54,1,1
4816,10,23,1,1
4816,11,10,1,1
4816,12,3,1,1
4816,13,37,1,1
4816,14,21,1,1
4816,15,34,1,1
4816,16,22,1,1
4816,17,18,1,1
4816,18,45,1,1
4816,19,2,1,1
4816,20,13,1,1
5117,2,95,1,1
5117,3,123,1,1
5117,4,84,1,1
5117,5,43,1,1
5117,6,31,1,1
5117,7,10,1,1
5117,8,10,1,1
5117,9,76,1,1
5117,10,20,1,1
5117,11,35,1,1
5117,12,35,1,1
5117,13,162,1,1
5117,14,20,1,1
5117,15,41,1,1
5117,16,19,1,1
5117,17,24,1,1
5117,18,56,1,1
5117,19,2,1,1
5117,20,22,1,1
5418,2,27,1,1
5418,3,136,1,1
5418,4,90,1,1
5418,5,43,1,1
5418,6,47,1,1
5418,7,10,1,1
5418,8,19,1,1
5418,9,69,1,1
5418,10,40,1,1
5418,11,68,1,1
5418,12,53,1,1
5418,13,148,1,1
5418,14,40,1,1
5418,15,49,1,1
5418,16,34,1,1
5418,17,26,1,1
5418,18,75,1,1
5418,19,9,1,1
5418,20,19,1,1
5719,2,4,1,1
5719,3,57,1,1
5719,4,60,1,1
5719,5,22,1,1
5719,6,27,1,1
5719,7,13,1,1
5719,8,20,1,1
5719,9,77,1,1
5719,10,24,1,1
5719,11,43,1,1
5719,12,25,1,1
5719,13,34,1,1
5719,14,21,1,1
5719,15,42,1,1
5719,16,35,1,1
5719,17,25,1,1
5719,18,65,1,1
5719,19,3,1,1
5719,20,21,1,1
6020,2,3,1,1
6020,3,66,1,1
6020,4,96,1,1
6020,5,28,1,1
6020,6,23,1,1
6020,7,11,1,1
6020,8,3,1,1
6020,9,29,1,1
6020,10,13,1,1
6020,11,10,1,1
6020,12,5,1,1
6020,13,40,1,1
6020,14,21,1,1
6020,15,34,1,1
6020,16,21,1,1
6020,17,3,1,1
6020,18,13,1,1
6020,19,2,1,1
