id1,id2,1/distance
:GH_J2_11_0,:GH_J2_12_0,0.8758125562345409
:GH_J2_11_0,GH_J1,0.02450007287986268
:GH_J2_11_0,GH_J2,0.11339734479778436
:GH_J2_11_0,GH_J3,0.02273549469240335
:GH_J2_11_0,GH_J4,0.01692795553767042
:GH_J2_11_0,KC_J1,0.0005063977756014795
:GH_J2_11_0,KC_J2,0.0005069819932746513
:GH_J2_11_0,KC_J3,0.0005159834894304462
:GH_J2_11_0,KC_J4,0.0005153534368230798
:GH_J2_11_0,KL_J1,0.0014619569464258014
:GH_J2_11_0,KL_J2,0.0014573510671566352
:GH_J2_11_0,KL_J3,0.0014911213901432577
:GH_J2_11_0,KL_J4,0.0014921099230421093
:GH_J2_11_0,KL_J5,0.0014371681505164092
:GH_J2_11_0,YB_J1,0.0009141719937850725
:GH_J2_11_0,YB_J2,0.0009187126091552124
:GH_J2_11_0,YB_J3,0.0009401072876270419
:GH_J2_11_0,YB_J4,0.0009349544874499949
:GH_J2_11_0,YB_J5,0.000909344630408326
:GH_J2_11_0,YB_J6,0.0008908142306859828
:GH_J2_11_0,gneJ101,0.0009477979960258953
:GH_J2_11_0,gneJ110,0.000907876945346277
:GH_J2_11_0,gneJ111,0.0008855691009952539
:GH_J2_11_0,gneJ112,0.0008216696657732549
:GH_J2_11_0,gneJ113,0.0008377891629522501
:GH_J2_11_0,gneJ132,0.0005171540235047172
:GH_J2_11_0,gneJ133,0.0005083971112299768
:GH_J2_11_0,gneJ134,0.00047270575383096816
:GH_J2_11_0,gneJ135,0.0004785967543767905
:GH_J2_11_0,gneJ136,0.0003749363824582494
:GH_J2_11_0,gneJ137,0.00037512113777568687
:GH_J2_11_0,gneJ160,0.0016953180070698082
:GH_J2_11_0,gneJ165,0.0025166750018220546
:GH_J2_11_0,gneJ168,0.002469516030313693
:GH_J2_11_0,gneJ170,0.002221606607073361
:GH_J2_11_0,gneJ177,0.0012342735026673179
:GH_J2_11_0,gneJ179,0.05359154541130476
:GH_J2_11_0,gneJ181,0.014628338608070113
:GH_J2_12_0,:GH_J2_11_0,0.8758125562345409
:GH_J2_12_0,GH_J1,0.0244488101179544
:GH_J2_12_0,GH_J2,0.10040115098531209
:GH_J2_12_0,GH_J3,0.022168123025547427
:GH_J2_12_0,GH_J4,0.016727150578047235
:GH_J2_12_0,KC_J1,0.0005066651868805589
:GH_J2_12_0,KC_J2,0.0005072487424351733
:GH_J2_12_0,KC_J3,0.0005162599745354335
:GH_J2_12_0,KC_J4,0.0005156306250609697
:GH_J2_12_0,KL_J1,0.001464400849095327
:GH_J2_12_0,KL_J2,0.0014597800163836817
:GH_J2_12_0,KL_J3,0.0014936644400002491
:GH_J2_12_0,KL_J4,0.0014946559470214644
:GH_J2_12_0,KL_J5,0.0014395303260602893
:GH_J2_12_0,YB_J1,0.000915069783308396
:GH_J2_12_0,YB_J2,0.0009196105692124536
:GH_J2_12_0,YB_J3,0.000941048757038107
:GH_J2_12_0,YB_J4,0.000935895110774125
:GH_J2_12_0,YB_J5,0.0009102445959601323
:GH_J2_12_0,YB_J6,0.0008916649197496444
:GH_J2_12_0,gneJ101,0.0009486886776902954
:GH_J2_12_0,gneJ110,0.0009085565980591863
:GH_J2_12_0,gneJ111,0.0008862195091716349
:GH_J2_12_0,gneJ112,0.0008224410792793726
:GH_J2_12_0,gneJ113,0.0008385912665780379
:GH_J2_12_0,gneJ132,0.0005173980069023243
:GH_J2_12_0,gneJ133,0.0005086333814868347
:GH_J2_12_0,gneJ134,0.00047295807219238455
:GH_J2_12_0,gneJ135,0.00047885561278362813
:GH_J2_12_0,gneJ136,0.0003750813503745236
:GH_J2_12_0,gneJ137,0.0003752657675414172
:GH_J2_12_0,gneJ160,0.0016921170202116832
:GH_J2_12_0,gneJ165,0.002517622576826978
:GH_J2_12_0,gneJ168,0.0024696695632323343
:GH_J2_12_0,gneJ170,0.0022200213578412098
:GH_J2_12_0,gneJ177,0.0012354121017296188
:GH_J2_12_0,gneJ179,0.0570840791526011
:GH_J2_12_0,gneJ181,0.014392327475795781
GH_J1,:GH_J2_11_0,0.02450007287986268
GH_J1,:GH_J2_12_0,0.0244488101179544
GH_J1,GH_J2,0.02438092117905447
GH_J1,GH_J3,0.01897348556196717
GH_J1,GH_J4,0.029114301092836786
GH_J1,KC_J1,0.0005015124402219384
GH_J1,KC_J2,0.0005019904606686304
